,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
1,0,0,0,1,0,0,0,0,0,studio,maschine studio ,Riccardonce,S.C. de Tenerife, ,24/02/2023,31/12/2022,98,1117
2,0,0,0,1,0,0,0,0,0,ensoniq,ensoniq mc-32 ,cvsequencer,Barcelona,12/09/2022,25/01/2023,31/12/2022,299,1188
3,0,1,0,0,0,0,0,0,1,roli,"roli seaboard block, funcionando o para ",dave,Cádiz,30/11/2022,29/01/2023,31/12/2022,149,416
4,0,0,0,1,0,0,0,0,0,elektron,elektron sps-1 mk-i ,fine,Pontevedra,28/11/2022,30/01/2023,31/12/2022,316,418
5,0,0,0,1,0,0,0,0,0,akai,akai mpk 225 ,jazzman78,Madrid,10/12/2022,27/01/2023,31/12/2022,162,874
6,0,0,0,1,0,0,0,0,0,empress,zoia empress ,n.roman,Valladolid,27/12/2022,25/02/2023,31/12/2022,134,697
7,0,0,0,1,0,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,25/02/2022,30/01/2023,31/12/2022,1519,281
8,0,0,0,1,0,0,0,0,0,roland,roland d-50 ,7ºDisminuido,Málaga,10/12/2022,26/01/2023,31/12/2022,320,1286
9,0,0,0,1,0,0,0,0,0,audio,udo audio super 6 blue ,Miguel,Málaga,10/12/2022,27/01/2023,31/12/2022,268,611
10,0,0,0,1,0,0,0,0,0,dave smith ,prophet 08 pe ,roy242,Valencia,23/11/2022,25/01/2023,31/12/2022,694,498
11,0,0,0,1,0,0,0,0,0,-,varios sintetizadores solo venta ,Jorge Pérez,Las Palmas, ,27/02/2023,31/12/2022,436,1185
12,0,0,0,1,0,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,09/10/2021,28/01/2023,31/12/2022,1458,1031
13,0,0,1,0,0,0,0,0,0,teenage engineering ,korg microkorg xl plus por op-z ,Injuve,Pontevedra,24/10/2022,28/01/2023,31/12/2022,438,625
