,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
1,0,0,0,1,0,0,0,0,0,yamaha,yamaha breath control bc3 ,jassy,Valencia,15/02/2023,28/03/2023,1/3/2023,116,554
2,0,0,0,1,0,0,0,0,0,novation,novation sl 25 mk2 ,Produccionmusic,Zaragoza,08/02/2023,26/03/2023,1/3/2023,160,1591
3,0,0,0,1,0,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,25/02/2022,27/03/2023,1/3/2023,1695,281
4,0,0,0,1,0,0,0,0,0,m-audio,teclado midi m-audio oxygen 61 ,Cinosapsih,Málaga,16/01/2023,29/03/2023,1/3/2023,234,1041
5,0,0,0,1,0,0,0,0,0,-,intellijel uvca ii ,The mighty citrus,Navarra,02/01/2023,27/03/2023,1/3/2023,358,1677
6,0,0,0,1,0,0,0,0,0,mfb,mfb tanzbar ,granda79,Gipuzkoa,22/02/2023,22/04/2023,1/3/2023,228,733
7,0,0,0,1,0,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,09/10/2021,28/03/2023,1/3/2023,1588,1031
8,0,1,0,0,0,0,0,0,0,analogue systems ,rs30 ,shiz,Barcelona,27/02/2023,27/04/2023,1/3/2023,40,446
9,0,0,0,1,0,0,0,0,0,decksaver,arturia drumbrute + decksaver ,egres,Barcelona,28/02/2023,28/04/2023,1/3/2023,44,534
10,0,0,0,1,0,0,0,0,0,arturia,teclado controlador arturia keylab 88 mkii ,Maria,Valencia,27/02/2023,27/04/2023,1/3/2023,60,490
11,0,0,1,0,0,0,0,0,0,teenage engineering ,korg microkorg xl plus por op-z ,Injuve,Pontevedra,24/10/2022,30/03/2023,1/3/2023,600,625
12,0,0,0,1,0,0,0,0,0,kurzweil,kurzweil k2000 ,polypodium,Madrid,29/12/2022,26/03/2023,1/3/2023,198,1106
13,0,0,0,1,0,0,0,0,0,critter,organelle de critter and guitari ,elpezs,Madrid,24/02/2023,24/04/2023,1/3/2023,160,659
14,0,0,0,1,0,0,0,0,0,moog,moog voyager + vx351 + cp251 ,Ablektro,Barcelona,26/12/2022,28/03/2023,1/3/2023,518,820
15,0,0,0,1,0,0,0,0,0,instruments,instruments mopho sintetizador analogico ,Aguilar242,Navarra,01/11/2022,29/03/2023,1/3/2023,1008,861
16,0,0,0,1,0,0,0,0,0,korg,sintetizador korg wavestation ex ,AVRF,Madrid,31/08/2022,29/03/2023,1/3/2023,1782,303
17,0,0,0,1,0,0,0,0,0,-,modal cobalt 8x sintetizador ,Aguilar242,Navarra,24/02/2023,25/04/2023,1/3/2023,184,861
18,0,0,0,1,0,0,0,0,0,-,"sequential prophet 5 rev4,prophet 10 module,prophet x,prophet rev2 module, pro 3 se, pro 3, minifreak ",Storm,Bizkaia,17/02/2021,22/03/2023,1/3/2023,10328,533
19,0,0,0,0,0,1,0,0,0,casio,casio pt-10 ,filla,Madrid,26/06/2022,27/03/2023,1/3/2023,868,520
20,0,0,0,1,0,0,0,0,0,korg,korg m1 sound cards mpc-05 + msc-05 ,Russell Illsley,Málaga,25/02/2023,25/04/2023,1/3/2023,64,1512
21,0,0,0,1,0,0,0,0,0,empress,empress echosystem ,jefeberman,Madrid,01/03/2023,29/04/2023,1/3/2023,32,1039
22,0,0,0,1,0,0,0,0,0,yamaha,sampler yamaha a4000 ,xisco_76,Barcelona,04/01/2023,27/03/2023,1/3/2023,533,754
23,0,0,0,1,0,0,0,0,0,system,roland system 8 ,funkytime,Barcelona,09/10/2022,25/03/2023,1/3/2023,998,988
24,0,0,0,1,0,0,0,0,0,-,sintetizadores y material de estudio variado ,Mario,Cantabria,28/02/2023,28/04/2023,1/3/2023,234,504
25,0,0,0,1,0,0,0,0,0,doepfer,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,25/05/2022,30/03/2023,1/3/2023,1332,533
26,0,0,0,1,0,0,0,0,0,moog,reserved moog dfam + thonk knobs ,Russell Illsley,Málaga,24/02/2023,25/04/2023,1/3/2023,132,1512
27,0,0,0,1,0,0,0,0,0,-,modal argon8 ,Storm,Bizkaia,29/03/2021,28/03/2023,1/3/2023,5063,533
28,0,0,0,1,0,0,0,0,0,-,soma lyra 8 ,Ray Stonez,Valencia,12/01/2023,29/03/2023,1/3/2023,342,975
29,0,0,0,1,0,0,0,0,0,korg,korg electribe-a ea-1 analog modeling synthesizer ,Kryz Nop,Barcelona,22/02/2023,20/04/2023,1/3/2023,158,765
30,0,0,0,1,0,0,0,0,0,kurzweil,kurzweil pc4 ,Jorge,Madrid,25/02/2023,25/04/2023,1/3/2023,162,503
31,0,0,0,1,0,0,0,0,0,roland,roland sp 404 mk ii ,MINILOGO,Sevilla,01/03/2023,29/04/2023,1/3/2023,64,606
32,0,0,0,1,0,0,0,0,0,roland,roland sp-404 mk2 ,Modulekular,Albacete,24/02/2023,24/04/2023,1/3/2023,80,1157
33,0,0,0,1,0,0,0,0,0,eurorack,2hp sine eurorack ,Wallace,La Rioja,29/01/2023,26/03/2023,1/3/2023,144,697
