,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
369,0,0,0,1,300,0,0,0,0,komplete,komplete kontrol s61 mk2 con fallo ,journeyman,Madrid,18/10/2022,01/12/2022,1/11/2022,322,1096
370,0,0,0,1,1200,0,0,0,0,midi,moog moogerfoger midi murf ,andreslok,Barcelona,22/09/2022,21/11/2022,1/11/2022,394,963
371,0,0,0,1,290,0,0,0,0,source,serge random source ssg ,Vestby,Barcelona,18/09/2022,17/11/2022,1/11/2022,176,637
372,0,0,0,1,40,0,0,0,0,quiklok,quiklok m-2 para teclado complementario add-on for m-91 ,windbass,Zaragoza,17/06/2020,09/12/2022,1/11/2022,1403,859
373,0,0,0,1,95,0,0,0,0,-,maleta flight-case - estuche para teclado ,Javi,Girona,04/08/2022,24/11/2022,1/11/2022,456,394
374,0,0,0,1,90,0,0,0,0,roland,roland sc-33 ,Samsimo,Madrid,15/05/2022,25/11/2022,1/11/2022,822,729
375,0,0,0,1,4500,0,0,0,0,alesis,alesis andromeda a6 ,moog1406,Girona,13/07/2021,17/12/2022,1/11/2022,1160,637
376,0,0,0,1,200,0,0,0,0,novation,novation bass station rack ,alkalabp,Valencia,30/09/2021,07/12/2022,1/11/2022,1884,824
377,0,0,0,1,2150,0,0,0,0,yamaha,yamaha motif xf8 ,Jan,Barcelona,27/10/2022,26/12/2022,1/11/2022,98,281
378,0,0,0,1,300,0,0,0,0,waldorf,waldorf pulse 2 ,Franco Valentino,Barcelona,09/09/2022,08/11/2022,1/11/2022,270,1577
379,0,0,0,1,149,0,0,0,0,-,error box adm03 ,moog1406,Girona,09/06/2021,06/11/2022,1/11/2022,510,637
380,0,0,0,1,55,0,0,0,0,casio,casio vl-tone vl-1 ,eTorr,León,01/04/2021,27/11/2022,1/11/2022,1256,524
381,0,0,0,1,5800,0,0,0,0,hammond,hammond c3 1961 chop down portable ,windbass,Zaragoza,28/12/2018,09/12/2022,1/11/2022,4920,859
382,0,0,0,1,270,0,0,0,0,waldorf,waldorf blofeld rebaja final ,Wavethings,Badajoz,26/09/2022,04/11/2022,1/11/2022,548,1056
383,0,0,0,1,25,0,0,0,0,yamaha,analog xperience para yamaha modx y montage ,bicho,Madrid,21/09/2019,04/11/2022,1/11/2022,2280,517
