,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
1,0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,selimorgan,Valencia,08/05/2022,25/10/2022,1/10/2022,940,1073
2,0,0,0,1,2750,0,0,0,0,elektron,elektron monomachine mk2 sfx 60+ ,shiz,Barcelona,01/10/2022,29/11/2022,1/10/2022,88,446
3,0,0,0,1,325,0,0,0,0,modal electronics ,cobalt 5s ,Luis Martín (Roma 18),Tarragona,01/10/2022,29/11/2022,1/10/2022,64,1845
4,0,0,0,1,140,0,0,0,0,roland,módulo eurorack roland torcido ,VINIK,Barcelona,17/09/2022,14/11/2022,1/10/2022,226,385
5,0,0,0,1,1000,0,0,0,0,kawai,kawai mp 11 ,Daniel Lillo Mendoza,Sevilla,31/08/2022,30/10/2022,1/10/2022,229,1879
6,0,0,0,1,150,0,0,0,0,-,teclado maestro esi 88 con controladores y teclas contrapesadas ,Mister Carrington,Madrid,10/09/2022,30/10/2022,1/10/2022,364,1707
7,0,0,0,1,60,0,0,0,0,ensoniq,ensoniq mc-32 ,cvsequencer,Barcelona,10/09/2022,22/10/2022,1/10/2022,109,1188
8,0,0,0,1,600,0,0,0,0,korg,korg lambda **para reparar** ,tomiwilli,Madrid,01/10/2022,29/11/2022,1/10/2022,166,986
9,0,0,0,1,1300,0,0,0,0,korg,korg pa3x le con funda ,saimonfun,Madrid,27/09/2022,29/10/2022,1/10/2022,128,976
10,0,0,0,1,95,0,0,0,0,-,neutral labs - nermal v1 1 [modular eurorack] ,Davitek,Barcelona,24/09/2022,22/11/2022,1/10/2022,108,712
11,0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,NELUQ,Cuenca,04/07/2022,04/10/2022,1/10/2022,848,389
12,0,0,0,1,220,0,0,0,0,roli,roli seaboard block ,rvperez,Madrid,05/06/2022,22/10/2022,1/10/2022,558,782
13,0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,22/06/2021,25/11/2022,1/10/2022,2629,1301
14,0,0,0,1,280,0,0,0,0,red,red panda particle ,andreslok,Barcelona,24/09/2022,21/11/2022,1/10/2022,126,963
15,0,0,0,1,23,0,0,0,0,korg,korg t3 deslizador volumen ,FranZiskAner,Barcelona,28/08/2022,27/10/2022,1/10/2022,138,1198
