,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,user_anon
511,0,0,0,1,49,0,0,0,0,-,stand digitakt + digitone ultima unidad env incl ,Cádiz,11/06/2019,28/09/2022,1/9/2022,3984,481
512,0,0,0,1,150,0,0,0,0,roland,kenton pro dcb para roland juno 60 y algunos jupiter 8 ,Araba,26/05/2022,25/10/2022,1/9/2022,296,660
513,0,0,0,1,128,0,0,0,0,befaco,befaco joystick ,Girona,02/03/2022,29/10/2022,1/9/2022,609,637
514,0,0,0,1,235,0,0,0,0,befaco,befaco rampage ,Girona,01/10/2021,25/09/2022,1/9/2022,441,637
515,0,0,0,1,4,0,0,0,0,eurorack,módulos eurorack + cables y accesorios ,Asturias,09/05/2022,25/09/2022,1/9/2022,1533,621
516,0,0,0,1,479,0,0,0,0,komplete,komplete mkii s49 ,Alicante,29/05/2022,09/10/2022,1/9/2022,325,2160
517,0,0,0,1,199,0,0,0,0,alesis,keytar inalámbrico alesis ,Cuenca,14/07/2022,12/09/2022,1/9/2022,252,485
518,0,0,0,1,295,0,0,0,0,yamaha,yamaha dx9 ,Girona,15/03/2022,22/09/2022,1/9/2022,949,637
519,0,0,0,1,20,0,0,0,0,korg,cassette datos para korg dw6000 ,Madrid,07/07/2022,18/09/2022,1/9/2022,202,1106
520,0,0,0,1,530,0,0,0,0,-,digitone impecable ,Sevilla,08/06/2022,30/09/2022,1/9/2022,607,969
521,0,0,0,1,80,0,0,0,0,make noise ,eurorack rasie ,Madrid,1 semana,28/09/2022,1/9/2022,142,869
522,1,0,0,1,300,0,0,0,0,4ms,4ms stereo triggered sampler ,Barcelona,3 semanas,09/10/2022,1/9/2022,118,408
523,0,0,0,1,300,0,0,0,0,novation,novation ultranova ,Granada,1 semana,22/10/2022,1/9/2022,199,827
524,0,0,1,0,0,0,0,0,0,akai,akai x7000 floppy usb & librería ,Tarragona,1 semana,28/09/2022,1/9/2022,218,1816
525,0,0,0,1,1050,0,0,0,0,-,modulo sintetizador prophet 08 david smith ,Madrid,3 semanas,09/10/2022,1/9/2022,352,476
526,0,0,0,1,330,0,0,0,0,yamaha,tg 500 yamaha ,Barcelona,21/07/2022,28/09/2022,1/9/2022,438,588
527,0,0,0,1,1300,0,0,0,0,nord rack nord lead ,3 - 3 en ,Alicante,3 días,28/10/2022,1/9/2022,144,851
528,0,0,0,1,12000,0,0,0,0,system,moog system 15 ,Barcelona,03/10/2020,25/09/2022,1/9/2022,5712,650
529,0,0,0,1,249,0,0,0,0,befaco,befaco lich ,Girona,15/12/2021,30/10/2022,1/9/2022,547,637
530,0,0,0,1,98,0,0,0,0,volca,korg volca kick ,Cantabria,15/06/2022,26/09/2022,1/9/2022,318,1090
