,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
705,0,0,1,0,0,0,0,0,0,virus,access virus ti polar ,soloeskuchalo,Barcelona,11/08/2022,29/09/2022,1/9/2022,414,1404
706,0,0,0,1,299,0,0,0,0,akai,akai timbre wolf -envio incluido- ,ramoninchispas,Asturias,29/08/2022,28/10/2022,1/9/2022,104,1503
707,0,0,0,1,1200,0,0,0,0,korg,korg vocoder vc10 ,mercurioso,Madrid,10/12/2019,22/10/2022,1/9/2022,1540,1096
708,0,0,0,1,220,0,0,0,0,eurorack,mutable instruments beads modulo eurorack ,Disface,Granada,15/07/2022,13/09/2022,1/9/2022,451,687
709,0,0,0,1,150,0,0,0,0,casio,teclado casio vintage sk-1 ,thebadbeat,Girona,12/02/2022,08/09/2022,1/9/2022,778,1028
710,0,0,0,1,65,0,0,0,0,behringer,behringer modamp module 1005 ,Valentín,Asturias,11/08/2022,24/09/2022,1/9/2022,182,965
711,0,0,0,1,1650,0,0,0,0,-,sequential prophet rev2-8 ,Dave,Almería,24/07/2022,28/09/2022,1/9/2022,799,384
712,0,0,0,1,60,0,0,0,0,kawai,"lote de manuales emu, korg, roland, kawai ",sergiommms,A Coruña,11/05/2022,30/09/2022,1/9/2022,495,1091
713,0,0,0,1,99,0,0,0,0,eurorack,doepfer a-100 lc1 case eurorack ,Radon Studios,Madrid,01/08/2022,01/10/2022,1/9/2022,333,1279
714,0,0,0,1,150,0,0,0,0,-,ni kore 2 ,liradigital MRF,Madrid,12/07/2022,01/10/2022,1/9/2022,422,1419
715,0,0,0,1,90,0,0,0,0,mxr,mxr analog chorus ,Metrolike,Málaga,17/05/2022,04/10/2022,1/9/2022,233,940
716,0,0,0,1,475,0,0,0,0,moog,moog vx 351 ,moog1406,Girona,09/07/2021,13/09/2022,1/9/2022,766,637
717,0,0,0,1,390,0,0,0,0,-,piano digital ,rosario,Tarragona,18/08/2022,15/10/2022,1/9/2022,160,767
718,0,0,0,1,200,0,0,0,0,befaco,módulo befaco rampage ,Victor R,La Rioja,18/08/2022,25/10/2022,1/9/2022,84,745
719,0,0,0,1,850,0,0,0,0,-,leslie 815 proline ,windbass,Zaragoza,06/11/2020,21/09/2022,1/9/2022,1616,859
720,0,0,0,1,309,0,0,0,0,roland,roland tr 08 ,moog1406,Girona,09/05/2022,25/09/2022,1/9/2022,523,637
721,0,0,0,1,1900,0,0,0,0,-,montage 6 ¡¡ sin desembalar !! ,amseven,Cantabria,02/08/2022,26/09/2022,1/9/2022,556,751
722,0,0,0,1,370,0,0,0,0,korg,korg minilogue xd module ,Xavier Souto,Pontevedra,07/07/2022,30/09/2022,1/9/2022,995,1193
723,0,1,0,0,0,0,0,0,0,roland,roland mc 505 averiada ,sanwiche,Alicante,18/04/2022,23/09/2022,1/9/2022,361,850
724,0,0,0,1,500,0,0,0,0,kurzweil,kurzweil pc3 le7 ,jossluis,Barcelona,25/08/2022,23/10/2022,1/9/2022,217,892
