,Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
735,736,0,0,1,0,0,0,0,0,0,-,"virus ti soundbanks todos los bancos hasta la fecha "" ahora también con viper vst "" ",DeESser,Alicante,19/08/2018,10/09/2022,30/8/2022,4141,651
736,737,0,0,0,1,550,0,0,0,0,-,elektron digitackt ,Sonitec,Valencia,16/08/2022,14/10/2022,30/8/2022,236,725
737,738,0,0,0,1,199,0,0,0,0,-,proteus 2 e-mu systems 16 bit multi-timbral digital sound module xr ,bloson,Cuenca,18/01/2021,05/09/2022,30/8/2022,1674,653
738,739,0,0,0,1,220,0,0,0,0,-,eurorack case de aluminio 3 filas 85hp + yarns mutable instruments ,javierdepascual,Madrid,18/04/2022,16/09/2022,30/8/2022,732,1587
739,740,0,0,1,0,750,0,0,0,0,-,nord electro 2 quizás tb ,rubenmunoz12345,A Coruña,18/04/2022,26/09/2022,30/8/2022,236,1364
740,741,0,0,0,1,12,0,0,0,0,-,lote 10 revistas keyboard musica y tecnología ,Radius,Tarragona,11/07/2022,09/09/2022,30/8/2022,193,616
741,742,0,0,0,1,20,0,0,0,0,-,banananuts pack befaco eurorack ,Blasting Modular,Barcelona,21/07/2022,19/09/2022,30/8/2022,214,1576
742,743,0,0,0,1,180,0,0,0,0,-,arturia drumbrute impact ,Jorge8989,Valencia,27/07/2022,25/09/2022,30/8/2022,448,729
743,744,0,0,0,1,5,0,0,0,1,-,"teclas y para roland, korg, yamaha, novation update 11 2 2022 ",Elver Galarga,Lugo,03/03/2015,24/09/2022,30/8/2022,16980,1229
744,745,0,0,0,1,100,0,0,0,0,-,korg volca keys ,Alejandro M. Molina Amador,Málaga,13/07/2022,28/09/2022,30/8/2022,376,2335
745,746,0,0,0,1,1,0,0,0,0,-,packs de sonidos para máquinas elektron ,Zyon35,Córdoba,01/06/2022,18/09/2022,30/8/2022,654,536
746,747,0,0,0,1,1490,0,0,0,0,-,ferrofish a32 ad da converter ,moog1406,Girona,13/11/2020,08/10/2022,30/8/2022,1886,637
747,748,0,0,0,1,1800,0,0,0,0,-,yamaha motif xs8 ,vicen51,Araba,23/09/2019,19/09/2022,30/8/2022,2320,635
748,749,0,0,0,1,45,0,0,0,0,-,tarjeta smart media 128mb mas adaptador ,int3rc0m,Madrid,01/09/2020,26/09/2022,30/8/2022,1520,752
749,750,0,0,0,1,145,0,0,0,0,-,módulo pianos roland p-330 ,yoquese,Madrid,09/10/2021,26/09/2022,30/8/2022,964,779
750,751,0,0,0,1,100,0,0,0,0,-,soporte para teclado ,Carlos,Madrid,23/08/2022,19/10/2022,30/8/2022,188,612
751,752,0,0,0,1,490,0,0,0,0,-,akemie castle - alm busy circuits ,Alinter,Cádiz,10/06/2022,09/09/2022,30/8/2022,462,719
752,753,0,0,0,1,650,0,0,0,0,-,waldorf micro q keyboard ,sergiommms,A Coruña,16/04/2022,26/09/2022,30/8/2022,920,1091
753,754,0,0,0,1,600,0,0,0,0,-,kurzweil pc3 le8 ,erissoma,Madrid,16/05/2021,13/09/2022,30/8/2022,1280,867
754,755,0,0,0,1,90,0,0,0,0,-,doepfer a-142-2 vca dual con adsr y ducking ,Pablo M. - Sullibass,Zaragoza,24/08/2022,23/10/2022,30/8/2022,106,1704
755,756,0,0,0,1,150,0,0,0,0,-,groovebox mc 303 ,alcachofazul,Madrid,29/07/2022,14/09/2022,30/8/2022,342,1261
756,757,0,1,0,0,0,0,0,0,0,-,proteus 2000 máximo 200€ ,CreativeStudio,Madrid,17/07/2022,24/09/2022,30/8/2022,392,1451
757,758,0,1,0,0,0,0,0,0,0,-,arturia microbrute ,sholme,Córdoba,16/08/2022,18/10/2022,30/8/2022,58,648
758,759,0,0,0,1,490,0,0,0,0,-,korg arp odyssey ,moog1406,Girona,12/11/2021,08/10/2022,30/8/2022,1078,637
759,760,0,0,0,1,300,0,0,0,0,-,akai s3000xl ,Dave,Almería,01/07/2022,28/09/2022,30/8/2022,922,384
