,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
47,0,0,0,1,400,0,0,0,0,squarp,squarp pyramid mk3 ,Sevilla,2023/12/18,2024/06/14,2023/12/20,94
48,0,0,0,1,750,0,0,0,0,tasty,tasty chips electronics gr1 ,Baleares,2023/06/07,2024/06/16,2023/12/20,961
49,0,0,0,1,100,0,0,0,0,-,"equipos de estudio, sintes, caja de ritmo y secuenciador ",Araba,2023/06/01,2024/06/14,2023/12/20,3941
50,0,0,0,1,250,0,0,0,0,tiptop audio ,z-dsp ,Madrid,2023/02/23,2024/03/31,2023/12/20,663
51,0,0,0,1,190,0,0,0,0,make noise ,rené v1 ,Barcelona,2023/11/19,2024/01/15,2023/12/20,226
52,0,0,0,1,4500,0,0,0,0,hammond,hammond cv ,A Coruña,2023/09/25,2024/06/15,2023/12/20,469
53,0,0,0,1,75,0,0,0,0,casio,casio vl-tone vl-1 ,Bizkaia,2023/11/16,2024/06/13,2023/12/20,108
54,0,0,0,1,1600,0,0,0,0,nord electro ,6d 61+bolsa+funda ,Albacete,2023/12/13,2024/06/07,2023/12/20,59
55,0,0,0,1,289,0,0,0,0,arturia,teclado controlador arturia keylab mkii de 49 teclas ,A Coruña,2023/10/01,2024/06/12,2023/12/20,357
56,0,0,0,1,300,0,0,0,0,yamaha,yamaha reface cs ,Madrid,2023/11/14,2024/06/10,2023/12/20,226
57,0,0,0,1,130,0,0,0,0,digitech,digitech studio quad ,Valencia,2023/01/05,2024/01/11,2023/12/20,758
58,0,0,0,1,1250,0,0,0,0,isla,isla s2400 ,Málaga,2023/12/06,2024/06/07,2023/12/20,282
59,0,0,0,1,63,0,0,0,0,arturia,arturia keystep ,Pontevedra,2023/12/17,2024/06/14,2023/12/20,66
60,0,0,0,1,700,0,0,0,0,clavia,clavia nord lead 2 v1 06 condición excelente ,Barcelona,2023/12/20,2024/06/15,2023/12/20,80
61,0,0,0,1,350,0,0,0,0,yamaha,piano electrico yamaha clavinova clp-110 ,Tarragona,2023/12/06,2024/06/02,2023/12/20,118
62,0,0,0,1,1200,0,0,0,0,virus,virus ti2 ,Barcelona,2023/12/14,2024/02/11,2023/12/20,243
63,0,0,0,1,4000,0,0,0,0,jomox,jomox resonator neuronium ,Barcelona,2023/10/12,2024/06/16,2023/12/20,500
64,0,0,0,1,145,0,0,0,0,befaco,befaco kickall ,Valencia,2023/06/15,2024/06/13,2023/12/20,1004
65,0,0,0,1,120,0,0,0,0,casio,mini sintetizador casio vl-tone vl-1 ,Barcelona,2023/03/30,2024/06/15,2023/12/20,707
66,0,0,0,1,50,0,0,0,0,midi,teclado midi usb m-audio oxygen 61 ,Madrid,2023/12/16,2024/06/12,2023/12/20,120
67,0,0,0,1,350,0,0,0,0,korg,korg ms-04 pedal cv analogico ,Madrid,2023/12/20,2024/06/15,2023/12/20,88
68,0,0,0,1,2900,0,0,0,0,yamaha,piano yamaha clavinova cvp-609 ep ,Madrid,2023/11/29,2024/05/24,2023/12/20,266
69,0,0,0,1,900,0,0,0,0,novation,novation peak con stand y decksaver nuevo en barcelona ,Barcelona,2023/11/01,2024/06/14,2023/12/20,278
70,0,0,0,1,1500,0,0,0,0,moog,moog matriarch dark con decksaver en barcelona ,Barcelona,2023/12/20,2024/06/16,2023/12/20,108
71,0,0,1,0,0,0,1,0,0,roland,roland se-02 para cambio total o parcial ,Zaragoza,2023/12/06,2024/06/15,2023/12/20,121
72,0,0,0,1,550,0,0,0,0,korg,korg radias módulo sin teclado ,Madrid,2023/12/06,2024/06/05,2023/12/20,614
73,0,0,0,1,1150,0,0,0,0,oberheim,oberheim matrix 1000 ,Girona,2022/02/10,2024/06/09,2023/12/20,1396
74,0,0,0,1,270,0,0,0,0,4ms,ensemble oscillator 4ms ,Barcelona,2023/12/13,2024/01/14,2023/12/20,89
75,0,0,0,1,600,0,0,0,0,asm,asm hydrasynth desktop + presets de pago ,Madrid,2023/12/13,2024/06/12,2023/12/20,170
76,0,0,0,1,100,0,0,0,0,studio,studio electronics atc-1 2600 filter cartridge ,Barcelona,2021/09/21,2024/06/15,2023/12/20,1491
77,0,0,0,1,150,0,0,0,0,roland,adsr dual roland 540 ,Barcelona,2023/11/29,2024/06/12,2023/12/20,98
78,0,0,0,1,350,0,0,0,0,roland,roland jv-1080 con 3 expansiones de sonido ,Madrid,2023/12/13,2024/06/16,2023/12/20,181
79,0,0,0,1,60,0,0,0,0,bheringer,bheringer umx 61 ,Valencia,2021/03/04,2024/06/12,2023/12/20,2059
80,0,0,0,1,500,0,0,0,0,korg,korg kross 61 con funda original ,Sevilla,2023/12/19,2024/06/15,2023/12/20,56
81,0,0,0,1,250,0,0,0,0,behringer,behringer rd8 ,Barcelona,2023/12/06,2024/06/16,2023/12/20,180
82,0,0,0,1,790,0,0,0,0,behringer,behringer model d + pro 1 + k2 ,Madrid,2023/11/29,2024/06/13,2023/12/20,252
83,0,0,0,1,350,0,0,0,0,roland,roland jd-xi ,Barcelona,2023/12/06,2024/06/09,2023/12/20,150
84,0,0,0,1,1499,0,0,0,0,waldorf,waldorf m sintetizador wavetable ,Bizkaia,2021/12/24,2024/06/11,2023/12/20,3483
85,0,0,0,1,1650,0,0,0,0,moog,moog sound studio 3 en barcelona ,Barcelona,2023/12/20,2024/06/16,2023/12/20,72
86,0,0,0,1,1149,0,0,0,0,arturia,arturia matrixbrute ,Madrid,2023/12/06,2024/06/16,2023/12/20,385
87,0,0,0,1,400,0,0,0,0,novation,novation 61sl mkiii en garantía ,Zaragoza,2023/12/06,2024/06/12,2023/12/20,114
88,0,0,0,1,800,0,0,0,0,yamaha,yamaha motif xs6 en perfecto estado ,Barcelona,2023/12/18,2024/06/14,2023/12/20,96
89,0,0,0,1,250,0,0,0,0,novation,novation bass station rack ,Barcelona,2023/12/17,2024/06/13,2023/12/20,90
90,0,0,0,1,580,0,0,0,0,moog,moog moogerfooger cp 251 ,Barcelona,2023/10/05,2024/06/15,2023/12/20,344
91,0,0,0,1,75,0,0,0,0,midi,teclado midi m-audio oxygen pro mini ,Madrid,2023/12/16,2024/06/12,2023/12/20,72
92,0,0,1,0,55,0,0,0,0,adam,funda para teclado de 5 octavas por soporte rack tipo adam hall ,Madrid,2021/04/01,2024/06/12,2023/12/20,1800
93,0,0,0,1,320,0,0,0,0,mutable,marbles mutable instruments ,Valladolid,2023/11/02,2024/06/03,2023/12/20,180
94,0,0,0,1,2200,0,0,0,0,yamaha,yamaha montage 7 ,Cantabria,2023/12/06,2024/06/04,2023/12/20,1145
95,0,0,0,1,350,0,0,0,0,eloquencer,eloquencer + eme ,Sevilla,2023/12/18,2024/06/14,2023/12/20,150
96,0,0,1,0,0,0,0,0,0,yamaha,yamaha qy700 ,Madrid,2023/12/18,2024/06/14,2023/12/20,102
97,0,0,0,1,550,0,0,0,0,analog,leipzig-s 2 late model analog synthesizer ,Málaga,2023/12/06,2024/06/05,2023/12/20,210
98,0,0,0,1,1600,0,0,0,0,sequential,sequential prophet rev2-8 ,Gipuzkoa,2023/12/13,2024/06/15,2023/12/20,140
99,0,0,0,1,250,0,0,0,0,korg,korg microkorg sintetizador ,Cádiz,2023/11/29,2024/06/11,2023/12/20,224
100,0,0,0,1,800,0,0,0,0,yamaha,yamaha psr sx700 ,Girona,2023/08/27,2024/05/01,2023/12/20,420
101,0,0,0,1,300,0,0,0,0,novation,sintetizador novation ultranova ,Albacete,2023/11/29,2024/05/24,2023/12/20,254
102,0,0,0,1,1550,0,0,0,0,doepfer,doepfer a-100 basic system ,Barcelona,2023/11/22,2024/06/10,2023/12/20,256
103,0,0,0,1,800,0,0,0,0,analogue solutions ,megacity step sequencer ,Málaga,2023/12/06,2024/06/05,2023/12/20,150
104,0,0,0,1,125,0,0,0,0,-,ne sinc bucina ,Barcelona,2023/12/13,2024/06/16,2023/12/20,118
105,0,0,0,1,300,0,0,0,0,waldorf,waldorf blofeld ,Madrid,2023/11/20,2024/06/15,2023/12/20,298
106,0,0,0,1,80,0,0,0,0,-,po 20 arcade teenage enginering ,Valencia,2023/12/13,2024/06/09,2023/12/20,94
107,0,0,0,1,240,0,0,0,0,behringer,behringer rd8 mk1 ,Madrid,2023/12/17,2024/06/13,2023/12/20,157
108,0,0,0,1,1535,0,0,0,0,korg,korg opsix se platinum ,Girona,2022/02/17,2024/06/11,2023/12/20,1817
109,0,0,0,1,190,0,0,0,0,jomox,jomox mbase 11 ,Sevilla,2023/11/17,2024/06/15,2023/12/20,158
110,0,0,0,1,695,0,0,0,0,roland,roland mc-707 ,A Coruña, ,2024/06/13,2023/12/20,58
111,0,0,0,1,420,0,0,0,0,knas,knas ekdahl moisturizer ,Madrid,2023/12/13,2024/06/09,2023/12/20,154
112,0,0,0,1,1700,0,0,0,0,sequential,sequential prophet-6 desktop dave smith ,Sevilla,2023/12/18,2024/06/14,2023/12/20,190
113,0,0,0,1,750,0,0,0,0,akai,sampler akai s900 ,Cádiz,2023/12/20,2024/06/15,2023/12/20,96
114,0,0,0,1,775,0,0,0,0,verbos,verbos bark filter módulo de eurorack ,Barcelona,2023/11/29,2024/06/10,2023/12/20,146
115,0,0,0,1,25,0,0,0,0,akai,soporte akai mpc one ,Madrid,2023/08/20,2024/01/14,2023/12/20,442
116,0,0,0,1,855,0,0,0,0,oto,oto biscuit ,Barcelona,2023/11/29,2024/01/17,2023/12/20,156
117,0,0,0,1,250,0,0,0,0,yamaha,sampler yamaha a4000 ,Barcelona,2023/01/04,2024/06/10,2023/12/20,1616
118,0,0,0,1,500,0,0,0,0,crumar,crumar organizer t1 de los 70's ,Madrid,2023/08/26,2024/06/10,2023/12/20,718
119,0,0,0,1,990,0,0,0,0,eurorack,mdlr performer series pro 12u 104hp caja de eurorack ,Barcelona,2023/10/12,2024/06/10,2023/12/20,184
120,0,0,0,1,280,0,0,0,0,roland,jp-08 roland boutique ,Barcelona,2023/06/05,2024/06/14,2023/12/20,1352
121,0,0,0,1,200,0,0,0,0,kawai,kawai k1r modulo ,Madrid,2023/07/27,2024/06/14,2023/12/20,628
122,0,0,0,1,399,0,0,0,0,waldorf,"waldorf stvc "" oferta hasta el viernes"" ",Navarra,2023/12/16,2024/06/12,2023/12/20,155
123,0,0,0,1,2200,0,0,0,0,-,teclado tyros 5 con 76 teclas con ampliación a 1024m y 2 packs de sonidos y ritmos ,Madrid,2023/04/16,2024/06/10,2023/12/20,729
124,0,0,0,1,150,0,0,0,0,-,malekko varigate 4+ black leer bien ,Barcelona,2023/07/03,2024/06/12,2023/12/20,556
125,0,0,0,1,45,0,0,0,0,roland,roland dk-01 boutique dock nuevo ,Valencia,2023/03/08,2024/06/13,2023/12/20,1200
126,0,0,0,1,1500,0,0,0,0,yamaha,yamaha yc61 ,Málaga,2023/11/06,2024/05/04,2023/12/20,173
127,0,0,0,1,450,0,0,0,0,instruo,instruo cs-l complex oscillator ,Madrid,2023/11/29,2024/06/09,2023/12/20,111
