buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
0,0,1,750,0,0,0,0,tasty,tasty chips electronics gr1 ,Baleares,2023/06/07,2024/06/16,2023/12/20,973
0,0,1,100,0,0,0,0,-,"equipos de estudio, sintes, caja de ritmo y secuenciador ",Araba,2023/06/01,2024/06/17,2023/12/20,3971
0,0,1,250,0,0,0,0,tiptop audio ,z-dsp ,Madrid,2023/02/23,2024/03/31,2023/12/20,675
0,0,1,190,0,0,0,0,make noise ,rené v1 ,Barcelona,2023/11/19,2024/01/19,2023/12/20,240
0,0,1,4500,0,0,0,0,hammond,hammond cv ,A Coruña,2023/09/25,2024/06/15,2023/12/20,475
0,0,1,75,0,0,0,0,casio,casio vl-tone vl-1 ,Bizkaia,2023/11/16,2024/06/13,2023/12/20,112
0,0,1,1600,0,0,0,0,nord electro ,6d 61+bolsa+funda ,Albacete,2023/12/13,2024/06/07,2023/12/20,73
0,0,1,289,0,0,0,0,arturia,teclado controlador arturia keylab mkii de 49 teclas ,A Coruña,2023/10/01,2024/06/12,2023/12/20,361
0,0,1,300,0,0,0,0,yamaha,yamaha reface cs ,Madrid,2023/11/14,2024/06/10,2023/12/20,236
0,0,1,63,0,0,0,0,arturia,arturia keystep ,Pontevedra,2023/12/16,2024/06/14,2023/12/20,84
0,0,1,700,0,0,0,0,clavia,clavia nord lead 2 v1 06 condición excelente ,Barcelona,2023/12/18,2024/06/15,2023/12/20,114
0,0,1,1200,0,0,0,0,virus,virus ti2 ,Barcelona,2023/12/13,2024/02/11,2023/12/20,259
0,0,1,4000,0,0,0,0,jomox,jomox resonator neuronium ,Barcelona,2023/10/12,2024/06/16,2023/12/20,514
0,0,1,145,0,0,0,0,befaco,befaco kickall ,Valencia,2023/06/15,2024/06/17,2023/12/20,1016
0,0,1,120,0,0,0,0,casio,mini sintetizador casio vl-tone vl-1 ,Barcelona,2023/03/30,2024/06/15,2023/12/20,713
0,0,1,50,0,0,0,0,midi,teclado midi usb m-audio oxygen 61 ,Madrid,2023/12/14,2024/06/12,2023/12/20,132
0,0,1,250,0,0,0,0,korg,korg ms-04 pedal cv analogico ,Madrid,2023/12/18,2024/06/15,2023/12/20,128
0,1,0,0,0,1,0,0,roland,roland se-02 para cambio total o parcial ,Zaragoza,2023/12/06,2024/06/15,2023/12/20,127
0,0,1,550,0,0,0,0,korg,korg radias módulo sin teclado ,Madrid,2023/12/06,2024/06/05,2023/12/20,678
0,0,1,300,0,0,0,0,korg,korg electribe 2 sampler ,Madrid,2023/09/03,2024/06/16,2023/12/20,736
0,0,1,2500,0,0,0,0,-,dsi prophet 12 desktop ,Valencia,2023/12/20,2024/06/17,2023/12/20,94
0,0,1,1000,0,0,0,0,eurorack,eurorack vendo intellijel 104 7u ,Barcelona,2023/12/19,2024/06/16,2023/12/20,92
