Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,seen,published_dt,expire_dt,date_scrapped_dt
367,0,0,1,0,1800,0,0,0,0,prophet,o prophet 6 ,Cádiz,206,2024-02-08,2024-07-16,2024-02-09
368,0,0,1,0,2650,0,0,0,0,system,polivoks system ,Valencia,294,2024-02-03,2024-07-12,2024-02-09
369,0,0,0,1,110,0,0,0,0,native,native instrument komplete kontrol s25 ,Barcelona,240,2023-11-20,2024-05-18,2024-02-09
370,0,0,0,1,7650,0,0,0,0,roland,roland tr-808 rhythm composer ,Alicante,543,2023-12-06,2024-07-12,2024-02-09
371,0,0,0,1,250,0,0,0,0,-,microkorg xl + ,Málaga,198,2023-11-06,2024-05-04,2024-02-09
372,0,0,0,1,175,0,0,0,0,buchla,buchla 281t tiptop audio ,Barcelona,178,2024-02-06,2024-07-15,2024-02-09
373,0,0,0,1,3700,0,0,0,0,sequential,sequential prophet 10 rev 4 reissu ,Madrid,823,2023-09-08,2024-07-14,2024-02-09
374,0,0,0,1,220,0,0,0,0,arturia,arturia microfreak ,Madrid,46,2024-02-09,2024-07-17,2024-02-09
375,0,0,0,1,480,0,0,0,0,-,mochika x-5 átomosynth sinte semimodular ,Madrid,1053,2023-05-15,2024-07-15,2024-02-09
376,0,0,0,1,50,0,0,0,0,eurorack,"eurorack diy befaco, erica synth ",Madrid,96,2024-02-09,2024-07-17,2024-02-09
377,0,0,0,1,349,0,0,0,0,roland,roland a80 por tiempo limitado reservado ,Ourense,820,2023-11-13,2024-07-15,2024-02-09
378,0,0,0,1,13,0,0,0,0,roland,ventana display repuesto para roland tr-909 ,Cantabria,201,2023-12-18,2024-07-14,2024-02-09
379,0,0,0,1,1250,0,0,0,0,roland,roland jp8080 ,Madrid,748,2023-10-20,2024-02-17,2024-02-09
380,0,0,0,1,200,0,0,0,0,roland,roland mc307 ,Barcelona,316,2023-10-13,2024-07-16,2024-02-09
381,0,0,0,1,1499,0,0,0,0,korg,korg m3 61 ampliado ,Barcelona,512,2023-09-13,2024-07-15,2024-02-09
382,0,0,0,1,375,0,0,0,0,endorphin,endorphin es ghost black envio incluido ,Madrid,200,2023-12-10,2024-07-14,2024-02-09
383,0,0,0,1,165,0,0,0,0,ornament,ornament and crime ,Zaragoza,158,2024-02-05,2024-07-17,2024-02-09
384,0,0,0,1,40,0,0,0,0,midi,midi solutions quadra thru ,Madrid,72,2024-02-09,2024-07-17,2024-02-09
385,0,0,0,1,75,0,0,0,0,casio,teclado casio ctk631 ,Madrid,630,2023-03-31,2024-07-17,2024-02-09
386,0,0,0,1,70,0,0,0,0,meris,meris midi i o ,Málaga,174,2024-02-07,2024-07-16,2024-02-09
387,0,0,0,1,180,0,0,0,0,korg,korg kaosspad kp3 ,Madrid,64,2024-02-09,2024-07-17,2024-02-09
388,0,0,0,1,320,0,0,0,0,roland,roland xv5050 ,Cádiz,122,2024-02-08,2024-07-17,2024-02-09
389,0,0,0,1,100,0,0,0,0,bheringer,dedalera bheringer bcf 1010 nueva ,Girona,203,2024-02-03,2024-07-12,2024-02-09
390,0,0,0,1,260,0,0,0,0,korg,korg electribe production station ,Barcelona,182,2024-02-05,2024-03-15,2024-02-09
391,0,0,0,1,650,0,0,0,0,roland,roland sh3 sh-3 filtro moog ,Madrid,352,2024-02-04,2024-07-13,2024-02-09
392,0,0,0,1,450,0,0,0,0,yamaha,yamaha p125wh ,Pontevedra,148,2024-02-05,2024-07-14,2024-02-09
393,0,0,0,1,40,0,0,0,0,eurorack,intelijel headphones 1u eurorack ,Málaga,84,2024-02-07,2024-07-16,2024-02-09
394,0,0,0,1,90,0,0,0,0,befaco,befaco a*b+c modular eurorack ,Barcelona,132,2024-02-06,2024-07-15,2024-02-09
395,0,0,0,1,1700,0,0,0,0,ensoniq,sintetizador ensoniq sq80 ,Barcelona,372,2023-10-22,2024-07-16,2024-02-09
396,0,0,0,1,1000,0,0,0,0,elektron,sintetizador elektron digitone keys ,Barcelona,377,2023-11-01,2024-07-16,2024-02-09
397,0,0,0,1,10,0,0,0,0,korg,cassettes patches para sintes korg ,Madrid,659,2023-08-28,2024-07-13,2024-02-09
398,0,0,0,1,315,0,0,0,0,korg,korg electribe sampler ,Barcelona,146,2024-02-05,2024-03-15,2024-02-09
399,0,0,0,1,80,0,0,0,0,befaco,secuenciador analógico befaco slicer v3 ,Asturias,1399,2022-02-22,2024-04-01,2024-02-09
400,0,0,0,1,1400,0,0,0,0,-,nord piano 88 ,Valencia,670,2023-11-23,2024-02-13,2024-02-09
401,0,0,0,1,650,0,0,0,0,maschine,mode maschine xoxbox ,Barcelona,171,2024-02-05,2024-03-15,2024-02-09
402,0,0,0,1,45,0,0,0,0,-,estuche teclado ,Sevilla,140,2024-02-07,2024-07-16,2024-02-09
403,0,0,0,1,160,0,0,0,0,moog,moog werkstatt 01 & cv expander muy nuevo ,Madrid,202,2024-02-06,2024-07-15,2024-02-09
404,0,0,0,1,365,0,0,0,0,make noise ,0 cntrl ,Pontevedra,222,2024-02-02,2024-07-17,2024-02-09
405,0,0,0,1,150,0,0,0,0,roland,mam mb33 - clon roland tb 303 ,Madrid,62,2024-02-09,2024-07-17,2024-02-09
406,0,0,0,1,55,0,0,0,0,-,tiptop bd 808 ,Málaga,114,2024-02-06,2024-07-15,2024-02-09
407,0,0,0,1,180,0,0,0,0,behringer,behringer cat ,Barcelona,948,2023-09-17,2024-07-13,2024-02-09
408,0,0,0,1,450,0,0,0,0,moog,moog mother32 ,Madrid,62,2024-02-09,2024-07-17,2024-02-09
409,0,0,0,1,190,0,0,0,0,korg,korg n5 fallo iluminación pantalla ,Madrid,868,2023-03-31,2024-07-17,2024-02-09
410,0,0,0,1,630,0,0,0,0,strymon,strymon ola - dig - bluesky ,Valencia,406,2024-02-02,2024-07-14,2024-02-09
411,0,0,0,1,495,0,0,0,0,roland,sampler s750 roland ,Madrid,872,2023-09-30,2024-07-09,2024-02-09
412,0,0,0,1,650,0,0,0,0,kurzweil,kurzweil pc3 le6 ,Madrid,537,2023-11-05,2024-07-10,2024-02-09
413,0,0,0,1,290,0,0,0,0,kurzweil,kurzweil sp4-7 76 teclas semipesadas ,Barcelona,24,2024-02-08,2024-07-14,2024-02-09
414,0,0,0,1,96,0,0,0,0,dreadbox,dreadbox 2x whiteline random ,Asturias,332,2024-01-26,2024-07-13,2024-02-09
415,0,0,0,1,120,0,0,0,0,dreadbox,dreadbox whiteline filter módulos eurorack ,Asturias,164,2023-12-14,2024-07-13,2024-02-09
416,0,0,0,1,3100,0,0,0,0,moog,moog voyager blue edition como nuevo ,Barcelona,526,2024-01-12,2024-06-16,2024-02-09
417,0,0,0,1,116,0,0,0,0,dreadbox,dreadbox whiteline 2x lfo ,Asturias,166,2024-01-26,2024-07-13,2024-02-09
418,0,0,0,1,350,0,0,0,0,roland,sintetizador roland se-02 como nuevo ,Madrid,146,2024-02-06,2024-07-11,2024-02-09
419,0,0,0,1,1150,0,0,0,0,arturia,arturia matrixbrute ,Navarra,808,2023-09-14,2024-07-11,2024-02-09
420,0,0,0,1,65,0,0,0,0,doepfer,doepfer a-124 wasp filter ,Lugo,100,2024-02-06,2024-07-11,2024-02-09
421,0,0,0,1,499,0,0,0,0,yamaha,yamaha sy99 full ,Sevilla,414,2024-02-04,2024-07-09,2024-02-09
422,0,0,0,1,379,0,0,0,0,korg,korg opsix ,Girona,1078,2021-12-21,2024-07-10,2024-02-09
423,0,0,0,1,1500,0,0,0,0,sequential,sequential prophet rev2-8 ,Gipuzkoa,156,2024-02-06,2024-07-11,2024-02-09
424,0,0,0,1,499,0,0,0,0,modal,modal argon 8x ,Girona,1330,2022-01-27,2024-07-10,2024-02-09
425,0,0,0,1,250,0,0,0,0,behringer,behringer rd-8 ,Madrid,176,2024-02-06,2024-07-10,2024-02-09
426,0,0,0,1,1600,0,0,0,0,eurorack,módulos eurorack con caja ,Madrid,374,2024-02-04,2024-07-09,2024-02-09
427,0,0,0,1,130,0,0,0,0,eurorack,ryo aperture eurorack ,Badajoz,227,2023-10-09,2024-04-06,2024-02-09
428,0,0,0,1,300,0,0,0,0,squarp,squarp instruments hermod negro ,Baleares,150,2024-02-06,2024-07-11,2024-02-09
429,0,0,0,1,120,0,0,0,0,novation,novation remote sl 37 ,Jaén,148,2024-02-06,2024-07-11,2024-02-09
430,0,0,0,1,80,0,0,0,0,korg,korg microkey2 49 ,Castellón,198,2024-02-05,2024-07-10,2024-02-09
432,0,0,0,1,45,0,0,0,0,yamaha,pedal yamaha fc3a nuevo ,Madrid,108,2024-02-08,2024-07-13,2024-02-09
433,0,0,0,1,60,0,0,0,0,roland,funda roland cb-88rl ,Pontevedra,12,2024-02-08,2024-07-14,2024-02-09
434,0,0,0,1,170,0,0,0,0,midi,drum kat midi controller drumkat ,Madrid,192,2023-12-18,2024-07-11,2024-02-09
435,0,0,0,1,110,0,0,0,0,korg,korg volca kick + decksaver + fuente alimentacion ,Tarragona,539,2023-12-05,2024-07-09,2024-02-09
436,0,0,0,1,410,0,0,0,0,roland,sintetizador roland se-02 + mk-25 m + plug in ,Madrid,1016,2024-01-12,2024-07-10,2024-02-09
437,0,1,1,0,0,0,0,0,0,roland,roland fantom 06 ,Valencia,56,2024-02-09,2024-07-13,2024-02-09
438,0,0,0,1,0,0,0,0,0,-,varios actualizado!! ,Valencia,4862,2022-11-15,2024-07-10,2024-02-09
