,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
1,0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,selimorgan,Valencia,08/05/2022,30/09/2022,1/9/2022,742,1073
2,0,0,0,1,350,0,0,0,0,modal electronics ,cobalt 5s ,Luis Martín (Roma 18),Castellón,25/07/2022,23/09/2022,1/9/2022,350,1845
3,0,0,0,1,900,0,0,0,0,moog,moog little phatty stage 2 ,Gergö,Baleares,10/07/2021,28/09/2022,1/9/2022,584,635
4,0,0,0,1,1100,0,0,0,0,kawai,kawai mp 11 ,Daniel Lillo Mendoza,Sevilla,31/08/2022,30/10/2022,1/9/2022,96,1879
5,0,0,0,1,480,0,0,0,0,mpc,mpc live ssd 250 envío incluido ,djoy,Albacete,25/08/2022,25/10/2022,1/9/2022,226,438
6,0,0,0,1,105,0,0,0,0,synthrotek,synthrotek fold ,moog1406,Girona,03/01/2022,20/09/2022,1/9/2022,510,637
7,0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,NELUQ,Cuenca,04/07/2022,18/09/2022,1/9/2022,580,389
8,0,0,1,0,0,0,0,0,0,kurzweil,kurzweil k2500x ,chinog,Madrid,18/08/2022,17/10/2022,1/9/2022,320,632
9,0,0,0,1,80,0,0,0,0,midi,alesis qx49 - controlador midi ,SINTEXIA,Córdoba,19/07/2022,17/09/2022,1/9/2022,220,613
10,0,0,0,1,2600,0,0,0,0,yamaha,yamaha genos con maleta ,sal,Girona,01/09/2022,31/10/2022,1/9/2022,62,320
11,0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,22/06/2021,22/09/2022,1/9/2022,2483,1301
12,0,0,0,1,23,0,0,0,0,korg,korg t3 deslizador volumen ,FranZiskAner,Barcelona,28/08/2022,27/10/2022,1/9/2022,66,1198
13,0,0,0,1,320,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,25/02/2022,27/09/2022,1/9/2022,956,281
14,0,1,0,0,0,0,0,0,0,roland,roland sound library pcm1-06 baroque ,mentemodular,Gipuzkoa,01/04/2021,29/09/2022,1/9/2022,606,1293
15,0,0,0,1,600,0,0,0,0,roland,roland d-50 ,subsoniq,Barcelona,30/12/2021,10/10/2022,1/9/2022,1247,884
